Labels,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
1,0.204995993,0.110327249,0.094090396,0.081617159,0.753289714,0.71292255,0.701839005,0.063561955,0.059755046,0.056401905,0.052636234,0.566876155,0.045724986,0.306219352,0.542896051,0.459705629,0.026136326,0.020492937
1,0.304708156,0.16484459,0.132884338,0.115331688,0.633389542,0.60242701,0.599268156,0.125008548,0.123691642,0.123467479,0.12121307,0.533318704,0.067755763,0.239514966,0.456650023,0.404093901,0.036119566,0.032956688
1,0.375429313,0.182300286,0.136337447,0.107027617,0.594355669,0.592062337,0.625963966,0.15530759,0.154083455,0.158226848,0.162735322,0.544937178,0.061896509,0.256422911,0.478892419,0.380362732,0.035796358,0.033690121
1,0.220026666,0.189355045,0.14287772,0.113362437,0.584739019,0.5878433,0.625703942,0.065889476,0.059425099,0.055521801,0.051160763,0.684272452,0.043607025,0.383709673,0.586472991,0.646479863,0.025705574,0.016382382
1,0.293219523,0.21202933,0.152073033,0.115794344,0.532998202,0.543966263,0.588945198,0.110372394,0.106792882,0.106344823,0.10432991,0.630064179,0.043975224,0.337781287,0.560599183,0.381784965,0.015406782,0.03774247
1,0.339085607,0.176960897,0.132386032,0.100408086,0.607332743,0.603120681,0.638705148,0.130246727,0.130331323,0.133748043,0.135828014,0.647838961,0.038329561,0.372071861,0.597367227,0.406059248,0.02340552,0.020857492
1,0.308772498,0.237639072,0.188211936,0.159319541,0.477805116,0.453915,0.466863872,0.140635847,0.135705072,0.135276352,0.133464519,0.643135966,0.03537701,0.371621986,0.602360418,0.604162994,0.02420627,0.015719272
1,0.237561,0.186226308,0.142990618,0.111654171,0.596792247,0.582367579,0.610518533,0.077745125,0.072346142,0.070709073,0.068158387,0.708646613,0.045701742,0.395427197,0.583749433,0.598297851,0.027701707,0.017880676
1,0.225855116,0.230982955,0.164810994,0.127942014,0.491652011,0.505928412,0.54685596,0.077426009,0.07107401,0.069494915,0.068815558,0.706654999,0.026348763,0.458679662,0.675896505,0.431646229,0.009357484,0.021743132
1,0.353762295,0.23552506,0.19056332,0.168003227,0.489728681,0.470030962,0.476744789,0.166308588,0.165141896,0.164819709,0.157890958,0.548248398,0.056199639,0.267488071,0.496595552,0.542257614,0.034902297,0.01855578
1,0.318863686,0.203790725,0.16137735,0.137230711,0.553430881,0.529090356,0.537469089,0.12623472,0.121823357,0.119105096,0.117701505,0.373670936,0.153760638,0.116702117,0.278710849,0.221568536,0.049957824,0.095950504
1,0.123803611,0.041108467,0.031031261,0.02609851,0.908074554,0.905321099,0.904657821,0.02436064,0.022363556,0.021000926,0.020428759,0.517157418,0.081791019,0.217679381,0.423059464,0.596316509,0.047050884,0.023689917
1,0.351623277,0.125886375,0.102269631,0.087192749,0.718496892,0.68796704,0.681470449,0.138380034,0.138735934,0.139042242,0.135687957,0.334924538,0.142141171,0.112151468,0.283250113,0.314542224,0.077363146,0.060918811
1,0.429608689,0.325618197,0.265029003,0.226855367,0.387392401,0.362930132,0.379695119,0.224505137,0.219537732,0.216249245,0.211270113,0.54318944,0.093018899,0.226435424,0.416250567,0.42664202,0.037105998,0.044206855
1,0.431343942,0.300189657,0.246354187,0.207447566,0.434011541,0.415830336,0.44627557,0.193757598,0.182254641,0.175725941,0.172475615,0.476409253,0.112809523,0.167259135,0.345891966,0.235991028,0.027500895,0.094617109
1,0.457754471,0.174943526,0.147545451,0.136661289,0.610871454,0.563424672,0.545581842,0.210355632,0.212375844,0.213310463,0.210830386,0.368699488,0.116113881,0.14486346,0.339990921,0.346624809,0.063572901,0.04928415
1,0.421985083,0.140237494,0.111328688,0.096920376,0.69048975,0.672670654,0.670376086,0.159798804,0.160964863,0.164630994,0.164520991,0.490562678,0.082410621,0.202303664,0.409895597,0.278540646,0.043482909,0.061533414
1,0.207176444,0.117382008,0.089091758,0.072992787,0.737514087,0.731737175,0.737401638,0.065628319,0.063399696,0.061927248,0.060130254,0.49569685,0.089568782,0.196337422,0.396731729,0.208427008,0.024228086,0.07112762
1,0.228476313,0.190961694,0.144563398,0.124988137,0.586203127,0.578395603,0.578240872,0.082897958,0.076848492,0.074415195,0.069081841,0.533787031,0.119462448,0.196252187,0.362233318,0.34528237,0.048806842,0.051974059
1,0.544207201,0.257849023,0.212368124,0.191373256,0.498957614,0.453061327,0.44120306,0.286152131,0.283308375,0.285374899,0.280198719,0.328315442,0.141871923,0.111070681,0.278710849,0.147223838,0.033341572,0.183575898
1,0.172478272,0.056425991,0.038097092,0.030037012,0.873821992,0.883762674,0.890997887,0.025069192,0.022184875,0.020146604,0.017299331,0.569662892,0.090777562,0.232963925,0.416250567,0.382490436,0.039777152,0.040826085
1,0.141905178,0.086517438,0.07292794,0.065969916,0.806532457,0.777490923,0.759000975,0.073148257,0.074346809,0.076777196,0.076839967,0.238420051,0.126197287,0.106314908,0.287789378,0.193669982,0.040594173,0.113576785
1,0.166585658,0.039187736,0.028858956,0.023263263,0.91236963,0.911948978,0.915015449,0.023909606,0.021924589,0.020372246,0.01870187,0.297686181,0.127611767,0.106204668,0.289151158,0.157781321,0.047845338,0.120884879
1,0.113215406,0.017600657,0.011149609,0.008173579,0.96064197,0.965981637,0.970140563,0.004264187,0.003561851,0.003900266,0.004223397,0.324210279,0.125974232,0.126183403,0.31320926,0.227308898,0.058569614,0.064023228
1,0.082427634,0.045131129,0.027905166,0.020060264,0.899079204,0.914859069,0.926716535,0.016135649,0.014023485,0.013895959,0.014078416,0.410634399,0.106352025,0.147690172,0.343168407,0.217362926,0.045500129,0.087268328
1,0.0813445,0.004107223,0.002814653,0.002087881,0.990815559,0.991412264,0.992372626,0.001818489,0.001077435,0.000808096,0.000761982,0.401482538,0.100685236,0.154353744,0.355424421,0.3204307,0.037976484,0.066275185
1,0.290542086,0.101255119,0.079324172,0.067405334,0.773576523,0.757975501,0.753757155,0.112538988,0.115837894,0.120104198,0.121847873,0.237944178,0.162530288,0.085295651,0.243758511,0.080215605,0.078684165,0.155139221
1,0.10751979,0.089525374,0.073142056,0.065851286,0.799806205,0.776837638,0.759434348,0.083168485,0.083172185,0.083962344,0.081727128,0.390038846,0.096247236,0.147443748,0.352246936,0.398033272,0.039006595,0.06285418
1,0.16273407,0.049890675,0.040849457,0.037581854,0.888436058,0.875364985,0.862707263,0.061746013,0.061308598,0.061097896,0.058245166,0.275873945,0.179266386,0.077877229,0.225147526,0.176082384,0.070272105,0.122644962
1,0.109767343,0.040891026,0.031552926,0.027201765,0.908560789,0.903729458,0.900627448,0.040847476,0.040707358,0.041210125,0.040360946,0.286781756,0.210707066,0.076209468,0.211529732,0.363370916,0.109311484,0.080167732
1,0.222733266,0.068373177,0.057383112,0.050607384,0.847106075,0.824919458,0.815122848,0.073450679,0.07376058,0.07418767,0.073059103,0.239569837,0.131325252,0.096935379,0.274625511,0.11372574,0.039889359,0.189640714
1,0.19201234,0.030079366,0.025662787,0.023880137,0.932737478,0.921700751,0.912761907,0.038305232,0.037720285,0.037146807,0.035160623,0.29868409,0.186609791,0.085984286,0.234226055,0.117579274,0.029480061,0.318011143
1,0.292985113,0.067310132,0.055681862,0.048128025,0.849483224,0.830110109,0.824180355,0.068610672,0.065919211,0.064885081,0.06308056,0.301554698,0.183612982,0.10912391,0.253290967,0.192511441,0.029357193,0.337282064
1,0.140571581,0.088208647,0.065932184,0.05472383,0.802750629,0.798835546,0.800084786,0.040198056,0.038185158,0.036027006,0.033907322,0.316789554,0.181103433,0.089750691,0.240127099,0.356402092,0.08978443,0.060528254
1,0.197063102,0.077795629,0.060832328,0.052552909,0.826035887,0.814395621,0.808015522,0.076593556,0.078733532,0.081398337,0.082080841,0.485709346,0.09675456,0.179981862,0.373127553,0.353295612,0.046185312,0.052199863
1,0.345812205,0.277938174,0.216335111,0.169711493,0.620615664,0.63035171,0.651654663,0.14944946,0.141055396,0.141229687,0.144520666,0.418313372,0.321757546,0.08106439,0.158420336,0.100070325,0.063268527,0.296257803
1,0.110370258,0.094719803,0.069299646,0.055186486,0.788190589,0.788561145,0.79839463,0.039650729,0.037408686,0.036114721,0.033746756,0.448749807,0.174680307,0.130447008,0.274171584,0.440117517,0.091922693,0.054163124
1,0.426080224,0.342904773,0.2711099,0.225040334,0.662467734,0.670590433,0.68305491,0.165303723,0.146327023,0.134426656,0.124440522,0.431948607,0.484938423,0.06823848,0.106218793,0.335203531,0.126041679,0.292522815
1,0.334732351,0.205240333,0.169404757,0.140979406,0.686392345,0.658401779,0.652318176,0.163359995,0.158815994,0.154318709,0.145256542,0.40946483,0.42466577,0.063065531,0.108034498,0.117180595,0.037305563,0.834440288
1,0.191452497,0.118288013,0.092537081,0.078580241,0.736460577,0.720227471,0.717613802,0.061356251,0.06080023,0.060447453,0.058419593,0.445718358,0.173284763,0.121731103,0.258738084,0.160348079,0.035261441,0.168642272
1,0.136537372,0.032036337,0.019402811,0.012290026,0.928361362,0.940800446,0.955102501,0.007638562,0.006165862,0.005992169,0.005379385,0.491661755,0.106396666,0.180465217,0.364956877,0.469088122,0.056590011,0.040379992
1,0.189858482,0.096555973,0.080974812,0.075068805,0.784084604,0.752939262,0.725761225,0.08330051,0.083744332,0.084859566,0.082332703,0.492019305,0.098998497,0.19988034,0.395823877,0.410347515,0.027442677,0.08538596
1,0.366487139,0.305021684,0.234982676,0.190863149,0.634724305,0.640365646,0.655393088,0.147075864,0.133842032,0.125127077,0.114183792,0.550311693,0.307133103,0.141423684,0.217430776,0.351879535,0.044448351,0.335439524
1,0.369879346,0.325231635,0.255619574,0.198111417,0.54653155,0.536602103,0.563016087,0.160636466,0.147724002,0.141923662,0.137370007,0.459915307,0.235062392,0.115421991,0.227417158,0.277068158,0.058943448,0.159588817
1,0.163537553,0.075017214,0.055304239,0.043252349,0.832248891,0.834825643,0.847608529,0.026970045,0.022657721,0.021645313,0.020487891,0.526433625,0.099945596,0.199138931,0.382206083,0.31473115,0.019794184,0.097070381
1,0.14282963,0.054771022,0.042149726,0.036870077,0.877522782,0.871397759,0.865307504,0.054331861,0.055170419,0.056023965,0.05556693,0.593546022,0.087149038,0.251461953,0.433045847,0.329240185,0.018279608,0.106999788
1,0.10212088,0.20475713,0.153077432,0.12279349,0.551205005,0.539904015,0.559943841,0.070339621,0.065210472,0.0629937,0.061324725,0.505485145,0.097183857,0.188855636,0.376758965,0.177686109,0.021001783,0.082436087
1,0.087230683,0.007477561,0.00458987,0.003428395,0.983278915,0.985995932,0.987475505,0.001319921,0.001243862,0.00114251,0.00126002,0.462718958,0.212516002,0.126400885,0.251929187,0.078679811,0.029193851,0.24954675
1,0.230960963,0.268733163,0.193070425,0.145712727,0.501500973,0.515119547,0.546006548,0.101458334,0.094809431,0.093502417,0.092561595,0.540325877,0.10477729,0.204659496,0.380844303,0.178801758,0.012276239,0.141955715
1,0.110202607,0.13957309,0.107404524,0.090217804,0.687891094,0.672300063,0.670419424,0.077016966,0.075091293,0.074992638,0.073399354,0.545603585,0.080762955,0.229591872,0.430322288,0.609053124,0.050873566,0.023838661
